variavel: 18.Artes, cultura, esporte e recreação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/18.Artes, cultura, esporte e recreação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Morro Reuter";4312476;-29,537900000000;-51,081099999990;0
Mostardas;4312500;-31,105399999990;-50,916699999990;2
Muçum;4312609;-29,163000000000;-51,871400000000;1
"Muitos Capões";4312617;-28,313199999990;-51,183599999990;0
Muliterno;4312625;-28,325299999990;-51,769700000000;0
Não-Me-Toque;4312658;-28,454799999990;-52,818199999990;13
"Nicolau Vergueiro";4312674;-28,529800000000;-52,467599999990;0
Nonoai;4312708;-27,368900000000;-52,775599999990;2
"Nova Alvorada";4312757;-28,682200000000;-52,163100000000;0
"Nova Araçá";4312807;-28,653700000000;-51,745800000000;1
"Nova Bassano";4312906;-28,729099999990;-51,707200000000;3
"Nova Boa Vista";4312955;-27,992599999990;-52,978400000000;2
"Nova Bréscia";4313003;-29,218200000000;-52,031900000000;1
"Nova Candelária";4313011;-27,613700000000;-54,107399999990;2
"Nova Esperança do Sul";4313037;-29,406600000000;-54,829300000000;0
"Nova Hartz";4313060;-29,580700000000;-50,905099999990;3
"Nova Pádua";4313086;-29,027500000000;-51,309800000000;0
"Nova Palma";4313102;-29,471000000000;-53,468899999990;0
"Nova Petrópolis";4313201;-29,374099999990;-51,113500000000;30
"Nova Prata";4313300;-28,779900000000;-51,611300000000;29
"Nova Ramada";4313334;-28,066700000000;-53,699199999990;0
"Nova Roma do Sul";4313359;-28,988199999990;-51,409500000000;1
"Nova Santa Rita";4313375;-29,852499999990;-51,283700000000;13
"Novo Barreiro";4313490;-27,907699999990;-53,110300000000;0
"Novo Cabrais";4313391;-29,733799999990;-52,948900000000;0
"Novo Hamburgo";4313409;-29,687600000000;-51,132800000000;406
"Novo Machado";4313425;-27,576499999990;-54,503599999990;0
"Novo Tiradentes";4313441;-27,564900000000;-53,183700000000;0
"Novo Xingu";4313466;-27,743099999990;-53,061599999990;0
Osório;4313508;-29,888100000000;-50,266700000000;36
"Paim Filho";4313607;-27,707500000000;-51,762999999990;0
"Palmares do Sul";4313656;-30,253499999990;-50,510300000000;2
"Palmeira das Missões";4313706;-27,900600000000;-53,313400000000;33
Palmitinho;4313805;-27,359600000000;-53,558000000000;1
Panambi;4313904;-28,283300000000;-53,502299999990;44
"Pantano Grande";4313953;-30,190100000000;-52,372900000000;0
Paraí;4314001;-28,596399999990;-51,789600000000;3
"Paraíso do Sul";4314027;-29,671700000000;-53,143999999990;0
"Pareci Novo";4314035;-29,636500000000;-51,397399999990;0
Parobé;4314050;-29,624300000000;-50,831200000000;33
"Passa Sete";4314068;-29,457699999990;-52,959899999990;0
"Passo do Sobrado";4314076;-29,748000000000;-52,274799999990;0
"Passo Fundo";4314100;-28,257600000000;-52,409100000000;349
"Paulo Bento";4314134;-27,697800000000;-52,426099999990;2
Paverama;4314159;-29,548500000000;-51,733899999990;0
"Pedras Altas";4314175;-31,721699999990;-53,583799999990;0
"Pedro Osório";4314209;-31,864200000000;-52,818399999990;0
Pejuçara;4314308;-28,428300000000;-53,657899999990;0
Pelotas;4314407;-31,764900000000;-52,337100000000;531
"Picada Café";4314423;-29,446400000000;-51,136699999990;0
Pinhal;4314456;-27,507999999990;-53,208199999990;0
"Pinhal da Serra";4314464;-27,863399999990;-51,170200000000;0
"Pinhal Grande";4314472;-29,344999999990;-53,320700000000;1
"Pinheirinho do Vale";4314498;-27,210899999990;-53,607999999990;0
"Pinheiro Machado";4314506;-31,579400000000;-53,379800000000;1
"Pinto Bandeira";4314548;-29,000000000000;-54,000000000000;0
Pirapó;4314555;-28,043900000000;-55,200099999990;0
Piratini;4314605;-31,447299999990;-53,097299999990;0
Planalto;4314704;-27,329699999990;-53,057500000000;0
"Poço das Antas";4314753;-29,448100000000;-51,671900000000;0
Pontão;4314779;-28,058499999990;-52,679099999990;0
"Ponte Preta";4314787;-27,658700000000;-52,484800000000;0
Portão;4314803;-29,701499999990;-51,242899999990;8
"Porto Alegre";4314902;-30,032778000000;-51,230000000000;5.953
"Porto Lucena";4315008;-27,856900000000;-55,009999999990;0
"Porto Mauá";4315057;-27,579599999990;-54,665700000000;0
"Porto Vera Cruz";4315073;-27,740500000000;-54,899400000000;0
"Porto Xavier";4315107;-27,908200000000;-55,137900000000;4
"Pouso Novo";4315131;-29,173800000000;-52,213600000000;0
"Presidente Lucena";4315149;-29,517600000000;-51,179800000000;0
Progresso;4315156;-29,244199999990;-52,319699999990;1
"Protásio Alves";4315172;-28,757200000000;-51,475700000000;0
Putinga;4315206;-29,004500000000;-52,156900000000;0
Quaraí;4315305;-30,384000000000;-56,448300000000;3
"Quatro Irmãos";4315313;-27,816299999990;-52,441899999990;0
Quevedos;4315321;-29,350400000000;-54,078899999990;0
"Quinze de Novembro";4315354;-28,746500000000;-53,101100000000;2
Redentora;4315404;-27,664000000000;-53,640700000000;0
Relvado;4315453;-29,116399999990;-52,077800000000;1
"Restinga Sêca";4315503;-29,818800000000;-53,380699999990;4
"Rio dos Índios";4315552;-27,297300000000;-52,841700000000;0
"Rio Grande";4315602;-32,034900000000;-52,107100000000;184
"Rio Pardo";4315701;-29,988000000000;-52,371099999990;10
Riozinho;4315750;-29,638999999990;-50,448799999990;0
"Roca Sales";4315800;-29,288399999990;-51,865800000000;0
"Rodeio Bonito";4315909;-27,474200000000;-53,170600000000;1
Rolador;4315958;-28,257670000000;-54,818640000000;0
Rolante;4316006;-29,646200000000;-50,581899999990;5
"Ronda Alta";4316105;-27,775800000000;-52,805599999990;2
Rondinha;4316204;-27,831499999990;-52,908099999990;1
"Roque Gonzales";4316303;-28,129700000000;-55,026600000000;0
"Rosário do Sul";4316402;-30,251500000000;-54,922100000000;27
"Sagrada Família";4316428;-27,708500000000;-53,135100000000;0
"Saldanha Marinho";4316436;-28,394100000000;-53,097000000000;0
"Salto do Jacuí";4316451;-29,095099999990;-53,213299999990;2
"Salvador das Missões";4316477;-28,123300000000;-54,837299999990;0
"Salvador do Sul";4316501;-29,438600000000;-51,507700000000;15
Sananduva;4316600;-27,946999999990;-51,807899999990;6
"Santa Bárbara do Sul";4316709;-28,365300000000;-53,250999999990;0
"Santa Cecília do Sul";4316733;-28,153700000000;-51,929600000000;0
"Santa Clara do Sul";4316758;-29,474699999990;-52,084299999990;1
"Santa Cruz do Sul";4316808;-29,722000000000;-52,434300000000;166
"Santa Margarida do Sul";4316972;-30,329599999990;-54,082299999990;0
"Santa Maria";4316907;-29,686800000000;-53,814999999990;902
"Santa Maria do Herval";4316956;-29,490200000000;-50,991900000000;0
"Santa Rosa";4317202;-27,870200000000;-54,479599999990;53
"Santa Tereza";4317251;-29,165500000000;-51,735100000000;0
