Município,agropecuario,transformacao/industrial,comercio e atividades essenciais,atividades financeiras servicos profissionais e tecnicos,administracao publica,saude,educacao e cultura,sum,classe
Arroio do Sal,0.2857142857142857,6.9523809523809526,56.80952380952381,6.333333333333334,29.523809523809526,0.09523809523809523,0.0,2100,1
Arroio do Tigre,0.05561735261401557,22.469410456062292,36.48498331479422,5.228031145717464,25.639599555061178,5.839822024471635,4.282536151279199,1798,1
Arroio dos Ratos,5.234327449786975,18.25928180158247,38.28362751065125,5.842970176506391,28.058429701765064,1.2172854534388313,3.10407790626902,1643,1
Arroio Grande,36.0442917143948,2.6727758686521574,28.29324169530355,6.911034746086292,22.14585719740359,2.6345933562428407,1.2982054219167622,2619,0
Arvorezinha,0.7019783024888321,33.503509891512444,34.971282705807276,8.679004467134652,16.65603063178047,4.020421186981493,1.467772814294831,1567,4
Augusto Pestana,4.4799999999999995,20.48,42.72,7.68,15.68,5.680000000000001,3.2800000000000002,1250,4
Áurea,3.225806451612903,24.798387096774192,22.177419354838708,11.895161290322582,37.29838709677419,0.6048387096774194,0.0,496,1
Bagé,6.389166590929747,12.973734436062893,37.46251022448423,8.306825411251477,15.518494955921112,5.684813232754704,13.664455148595838,22006,4
Balneário Pinhal,1.8366054464851171,10.069664344521849,44.33185560481318,2.9765674477517416,40.08866371120963,0.6966434452184928,0.0,1579,1
Barão,1.5776699029126213,71.6626213592233,11.83252427184466,2.3058252427184467,11.225728155339807,1.0315533980582525,0.3640776699029126,1648,5
Barão de Cotegipe,3.3255993812838365,35.34416086620263,34.80278422273782,3.7122969837587005,18.097447795823665,4.098994586233565,0.6187161639597835,1293,4
Barão do Triunfo,7.8431372549019605,1.4705882352941175,25.0,7.107843137254902,58.333333333333336,0.24509803921568626,0.0,408,3
Barra do Guarita,2.6717557251908395,1.1450381679389312,17.557251908396946,2.6717557251908395,75.57251908396947,0.38167938931297707,0.0,262,6
Barra do Quaraí,12.17183770883055,1.7899761336515514,44.868735083532215,0.47732696897374705,40.572792362768496,0.11933174224343676,0.0,838,1
Barra do Ribeiro,36.36363636363637,18.55864342910975,22.13848327837965,4.239284032030146,18.040508714083845,0.18841262364578426,0.4710315591144607,2123,0
Barra do Rio Azul,5.181347150259067,0.5181347150259068,31.606217616580313,4.66321243523316,56.994818652849744,1.0362694300518136,0.0,193,3
Barra Funda,0.7927519818799547,60.47565118912798,20.724801812004532,1.4722536806342015,16.08154020385051,0.11325028312570783,0.33975084937712347,883,5
Barracão,4.71841704718417,18.56925418569254,29.68036529680365,4.5662100456621,38.96499238964992,3.1963470319634704,0.30441400304414,657,1
Barros Cassal,1.884570082449941,3.53356890459364,39.34040047114252,5.889281507656066,48.76325088339223,0.5889281507656066,0.0,849,1
Benjamin Constant do Sul,0.0,6.25,13.020833333333334,5.208333333333334,75.52083333333334,0.0,0.0,192,6
Bento Gonçalves,0.4093767867352773,44.05260148656375,27.700400228702115,8.487135506003431,11.149228130360205,5.392795883361921,2.808461978273299,43725,2
Boa Vista das Missões,12.18274111675127,5.32994923857868,31.725888324873097,3.5532994923857872,46.954314720812185,0.25380710659898476,0.0,394,3
Boa Vista do Buricá,0.5477784540474742,29.945222154595253,35.66646378575776,12.538040170419965,15.337796713329277,4.017041996348144,1.9476567255021302,1643,4
Boa Vista do Cadeado,37.5,0.7352941176470588,17.401960784313726,1.9607843137254901,42.40196078431372,0.0,0.0,408,0
Boa Vista do Incra,23.04147465437788,0.2304147465437788,14.516129032258066,5.0691244239631335,56.91244239631337,0.2304147465437788,0.0,434,0
Boa Vista do Sul,3.776683087027915,52.38095238095239,24.958949096880133,0.9852216748768473,17.898193760262725,0.0,0.0,609,2
Bom Jesus,46.50442477876106,12.920353982300886,19.24778761061947,3.761061946902655,16.548672566371682,0.6637168141592921,0.35398230088495575,2260,0
Bom Princípio,0.2033760423022168,66.54464104128533,18.87329672564572,3.2540166768354686,8.419768151311775,2.2574740695546063,0.44742729306487694,4917,5
Bom Progresso,4.242424242424243,20.303030303030305,16.969696969696972,1.5151515151515151,56.36363636363636,0.0,0.6060606060606061,330,3
Bom Retiro do Sul,4.741935483870967,61.12903225806452,14.741935483870968,3.1935483870967745,12.419354838709678,2.903225806451613,0.8709677419354838,3100,5
Boqueirão do Leão,3.7520391517128875,16.6394779771615,27.24306688417618,6.688417618270799,38.66231647634584,6.688417618270799,0.3262642740619902,613,1
Bossoroca,26.942482341069628,0.20181634712411706,24.924318869828458,4.843592330978809,42.583249243188696,0.30272452068617556,0.20181634712411706,991,0
Bozano,12.946428571428573,2.232142857142857,29.017857142857146,7.142857142857142,48.214285714285715,0.4464285714285714,0.0,224,3
Braga,1.440922190201729,6.051873198847262,22.19020172910663,5.763688760806916,62.824207492795395,1.729106628242075,0.0,347,3
Brochier,5.104712041884817,37.04188481675393,30.628272251308903,5.104712041884817,18.717277486910994,3.4031413612565444,0.0,764,2
Butiá,19.193742478941033,5.054151624548736,45.12635379061371,6.979542719614922,19.223826714801444,2.8580024067388687,1.5643802647412757,3324,1
Caçapava do Sul,14.702581369248035,15.840949174282507,32.5316658649992,14.413981080647748,17.732884399551065,3.6075036075036073,1.170434503767837,6237,1
Cacequi,26.26788036410923,7.542262678803641,25.097529258777634,4.291287386215865,32.63979193758127,3.3810143042912877,0.7802340702210664,1538,0
Cachoeira do Sul,8.906992532247115,17.922606924643585,38.43856076035302,6.951799049558724,14.847250509164969,8.6693822131704,4.263408010862186,14730,4
Cachoeirinha,0.05074626865671642,31.86865671641791,42.04776119402985,19.244776119402985,1.226865671641791,2.6,2.961194029850746,33500,4
Cacique Doble,0.24390243902439024,11.951219512195122,27.80487804878049,5.609756097560976,51.21951219512195,3.1707317073170733,0.0,410,3
Caibaté,3.7527593818984544,29.249448123620308,30.573951434878587,7.836644591611479,24.061810154525386,4.525386313465784,0.0,906,1
Caiçara,0.0,1.8218623481781375,27.125506072874494,9.7165991902834,60.72874493927125,0.6072874493927125,0.0,494,3
Camaquã,6.46007958682584,22.88544577089154,40.11514689696046,6.604013208026416,15.731098128862925,5.477944289221911,2.726272119210905,11811,4
Camargo,3.622047244094488,41.41732283464567,30.708661417322837,2.677165354330709,21.41732283464567,0.15748031496062992,0.0,635,2
Cambará do Sul,7.576747224036577,42.6518615284128,20.50947093403005,3.7883736120182885,21.097322011757022,4.376224689745264,0.0,1531,2
Campestre da Serra,19.884169884169882,23.93822393822394,17.760617760617762,2.8957528957528957,35.521235521235525,0.0,0.0,518,0
Campina das Missões,1.5957446808510638,17.287234042553195,38.03191489361702,4.787234042553192,28.324468085106385,9.707446808510637,0.26595744680851063,752,1
Campinas do Sul,14.72636815920398,12.736318407960198,39.20398009950249,5.472636815920398,26.268656716417908,1.3930348258706469,0.1990049751243781,1005,1
Campo Bom,0.5557371690094802,51.50142436837435,21.052631578947366,13.239620791108205,10.446924765329472,1.769952832391538,1.4337084948395833,21413,2
Campo Novo,8.804448563484709,12.604263206672844,49.02687673772011,5.746061167747914,21.686746987951807,1.9462465245597778,0.18535681186283595,1079,1
Campos Borges,3.474903474903475,12.741312741312742,38.61003861003861,2.8957528957528957,41.6988416988417,0.5791505791505791,0.0,518,1
Candelária,1.75715695952616,43.75123395853899,30.404738400789732,5.844027640671273,12.793682132280354,3.4353405725567625,2.013820335636723,5065,2
